"OB_OBJECT_NAME_1090","F16_1090","F5_1090","F1_0003","F2_0003","F1_2014"
"15京国资MTN002","101553039",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"15京国资MTN001","101551076",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"15京国资SCP001","011599511",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"15桂建工CP001","041552008",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"15冀交投PPN001","031553005",银行间债券,TB_1210-信用评级配置表,AA+,"20151231"
"15桂建工PPN001","031564002",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"14京国资MTN002","101453025",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"14桂建工PPN002","031490850",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"14桂建工PPN003","031490868",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"14京国资债","1480506",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"14桂建工PPN001","031490450",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"13百商02","118137",深圳,TB_1210-信用评级配置表,A,"20151231"
"14京国资MTN001","101453001",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"13桂建工PPN001","031390089",银行间债券,TB_1210-信用评级配置表,AA,"20151231"
"12京国资MTN1","1282307",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"11京国资02","1180194",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"11京国资01","1180193",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"11新筑债","112053",深圳,TB_1210-信用评级配置表,A,"20151231"
"11京国资PPN001","031105001",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"09京国资债02","098097",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"09京国资债01","098096",银行间债券,TB_1210-信用评级配置表,AAA,"20151231"
"14京国资SCP001","011499045",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"14京国资MTN002","101453025",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"14京国资债","1480506",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"14京国资MTN001","101453001",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"13圣达02",q14050613,深圳,TB_1210-信用评级配置表,A,"20150104"
"12京国资MTN1","1282307",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"11京国资02","1180194",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"11京国资01","1180193",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"11新筑债","112053",深圳,TB_1210-信用评级配置表,A+,"20150104"
"11京国资PPN001","031105001",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"09京国资债02","098097",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
"09京国资债01","098096",银行间债券,TB_1210-信用评级配置表,AAA,"20150104"
